video_id,exercise_id,exercise_name,equipment,youtube_link
387,183,Shoulder External Rotation,dumbbell,https://youtu.be/gOwur9N0cM0?si=EIabTgdTcDpHvfXt
389,185,Butt Kicks,plyometric,https://youtu.be/-dtvAxibgYQ?si=RT0WTj6CbMhL4uuT
391,187,Fly,dumbbell,https://youtu.be/eozdVDA78K0?si=00StNgZ_e300EGB-
393,187,Fly,cable,https://youtu.be/CT7vDnPJZ9w?si=s2EADcWg5hErRheI
395,189,Donkey Calf Raise,barbell,
397,189,Donkey Calf Raise,dumbbell,https://youtu.be/QrDvbLE-oyo?si=V4L2v9smRX6RzRBz
399,189,Donkey Calf Raise,lever,https://youtu.be/2vJs-RTaptI?si=TW2a5lgLws6hGa1S
401,191,Incline Bench Press,barbell,https://youtu.be/rT7DgCr-3pg?si=XO6u0lNgx3xipM4F
403,191,Incline Bench Press,dumbbell,https://youtu.be/8iPEnn-ltC8?si=fx0lwABqmGPGT8vf
405,191,Incline Bench Press,lever,https://youtu.be/ig0NyNlSce4?si=-oKqBio7oSw4sgUr
407,193,Pullup/Chinup: Parallel Grip Pull-Up,body weight (weighted),https://youtu.be/-27Ofi_wMFc?si=nMAUOUn6hFMj9TEB
409,193,Pullup/Chinup: Parallel Grip Pull-Up,assisted machine,https://youtu.be/-POHTgAPBZs?si=4C5R1VKQ7UyVzDFK
411,193,Pullup/Chinup: Parallel Grip Pull-Up,body weight,https://youtu.be/XWt6FQAK5wM?si=UXnlCGS6ob7-Ofuq
413,195,Seated Shoulder External Rotation: Standing,cable,
415,195,Seated Shoulder External Rotation: Standing,dumbbell,https://youtu.be/nmS6HnBzsQ0?si=oA2vPdxSXxwhp7EN
417,197,Depth Push-Up,body weight,https://youtu.be/F-aqEJOiKVg?si=lkRxOKX7XnkRo_47
419,197,Depth Push-Up,plyometric,https://youtu.be/kUycIu7qM4o?si=jtFdl21QNp2WRQGs
421,199,Pull-Up: Parallel Grip,body weight (weighted),https://youtu.be/-27Ofi_wMFc?si=nMAUOUn6hFMj9TEB
423,199,Pull-Up: Parallel Grip,body weight,https://youtu.be/XWt6FQAK5wM?si=UXnlCGS6ob7-Ofuq
425,199,Pull-Up: Parallel Grip,assisted machine,https://youtu.be/-POHTgAPBZs?si=4C5R1VKQ7UyVzDFK
427,201,Push-Up: On Knees,body weight,https://youtu.be/RWS6Q4IPO-8?si=M0zePkjgJDPss4SD
429,203,45  Reverse Calf Press,lever,https://youtu.be/YQTynXh3Cvc?si=GeJhNUrX5PkK8Sfb
431,205,Seated Shoulder External Rotation,dumbbell,https://youtu.be/nmS6HnBzsQ0?si=oA2vPdxSXxwhp7EN
433,205,Seated Shoulder External Rotation,cable,
435,207,Presses (general pressing),dumbbell,https://youtu.be/VmB1G1K7v94?si=43m80_OHJs1lmF3f
437,207,Presses (general pressing),barbell,https://youtu.be/rT7DgCr-3pg?si=XO6u0lNgx3xipM4F
439,207,Presses (general pressing),lever,https://youtu.be/-YiqDRTu8ag?si=k-LdFyYTSYw44s6J
441,209,Parallel Close Grip Pull-Up,assisted machine,https://youtu.be/3hz1HSM0QD8?si=XHdMe8fmvk2eP8y7
443,209,Parallel Close Grip Pull-Up,body weight (weighted),https://youtu.be/-27Ofi_wMFc?si=nMAUOUn6hFMj9TEB
445,209,Parallel Close Grip Pull-Up,body weight,https://youtu.be/ABdqXtQ3IMQ?si=if-pW5ZX2m7vgJRf
447,211,Mountain Climbers,plyometric,https://youtu.be/cnyTQDSE884?si=zSsUtoFqQ9eTsEeT
449,213,Lying Shoulder External Rotation,cable,
451,213,Lying Shoulder External Rotation,dumbbell,https://youtu.be/20v3G-odF5c?si=8hvk3XCfrplcmiyZ
453,215,Shoulder Internal Rotation,dumbbell,https://youtu.be/BJepHlhbbmg?si=YgEYGP8z8Cjw0G0V
455,215,Shoulder Internal Rotation,cable,https://youtu.be/jt5UXsbi0X0?si=8Kp-Z-VKyLTohGgK
457,217,Reverse Calf Raise,lever,https://youtu.be/y_HYoKh7LJA?si=ES4AuQNlA08wUhTK
459,219,Pulldown: Parallel Grip Pulldown,cable,https://youtu.be/--utaPT7XYQ?si=59BoCDEx4ONvUU7k
461,221,Row: One Arm,dumbbell,https://youtu.be/pYcpY20QaE8?si=kw1JfNzwgKpp-NII
463,221,Row: One Arm,barbell,https://youtu.be/1W1MnqIIZ7k?si=20Md7cSc3SgVMsOf
465,221,Row: One Arm,cable,https://youtu.be/iZZ8PIp49ng?si=L1P-5YOcbOpsXh_q
467,223,45  Calf Raise,lever,https://youtu.be/Qysm-mJKjjE?si=b_sELv7-Yluqnljw
469,225,Lying Reverse Calf Press,lever,https://youtu.be/uymqyDAkWzU?si=4PZ5TDe3lt56Azux
471,227,Bent-Over Row: Underhand,dumbbell,https://youtu.be/htcsmJOvImc?si=8IGB7vL7CRpeq2Ea
473,227,Bent-Over Row: Underhand,barbell,https://youtu.be/1r1nc3fLlNQ?si=Qo_Ou6IT1rdZ5FY4
475,229,Trap Bar Shrug,barbell,https://youtu.be/dAg1Kaevqj0?si=alSE7YzEvFub3rcx
